label,message,tokens,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...","['go', 'jurong', 'point', 'crazi', 'avail', 'bugi', 'n', 'great', 'world', 'la', 'e', 'buffet', 'cine', 'got', 'amor', 'wat']",0.64867884,0.018542772,0.019894505,0.02599063,0.02617143,0.02617144,0.02617143,0.02617143,0.02617143,0.02617143,0.02617143,0.02617143,0.02567529,0.025675021,0.026171392
ham,Ok lar... Joking wif u oni...,"['ok', 'lar', 'joke', 'wif', 'u', 'oni']",0.002989702,0.0038943805,0.0045516137,0.09083266,0.09792853,0.09792849,0.09792848,0.097928494,0.09792849,0.09792849,0.09792849,0.09792849,0.00818798,0.008187957,0.09792776
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,"['free', 'entri', 'wkli', 'comp', 'win', 'fa', 'cup', 'final', 'tkt', 'st', 'may', 'text', 'fa', 'receiv', 'entri', 'questionstd', 'txt', 'ratetc', 'appli', 'over']",0.008337263,0.0042104516,0.004102205,0.088139355,0.09853221,0.09853408,0.09853408,0.09853408,0.09853408,0.09853408,0.09853408,0.09853408,0.0042044893,0.004204445,0.09853107
ham,U dun say so early hor... U c already then say...,"['u', 'dun', 'say', 'earli', 'hor', 'u', 'c', 'alreadi', 'say']",0.0039730663,0.0033750534,0.0041573914,0.094329126,0.09449566,0.0944961,0.09449609,0.09449609,0.09449609,0.09449609,0.09449609,0.09449609,0.021851158,0.021850657,0.09449517
ham,"Nah I don't think he goes to usf, he lives around here though","['nah', 'dont', 'think', 'goe', 'usf', 'live', 'around', 'though']",0.010218085,0.004574971,0.0042945486,0.07838928,0.086977564,0.08697784,0.08697784,0.08697784,0.08697784,0.08697784,0.08697784,0.08697784,0.059874143,0.059848923,0.08697756
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv","['freemsg', 'hey', 'darl', 'week', 'word', 'back', 'id', 'like', 'fun', 'still', 'tb', 'ok', 'xxx', 'std', 'chg', 'send', '£', 'rcv']",0.20868652,0.011171921,0.011182318,0.07148046,0.07522222,0.07522353,0.075223476,0.07522351,0.07522351,0.07522351,0.07522351,0.07522351,0.010235108,0.010235167,0.07522172
ham,Even my brother is not like to speak with me. They treat me like aids patent.,"['even', 'brother', 'like', 'speak', 'treat', 'like', 'aid', 'patent']",0.0032447502,0.0040062484,0.005254717,0.09313359,0.093133986,0.09313315,0.093133144,0.093133144,0.093133144,0.093133144,0.093133144,0.093133144,0.028080778,0.028080076,0.09313391
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,"['per', 'request', 'mell', 'mell', 'oru', 'minnaminungint', 'nurungu', 'vettam', 'set', 'callertun', 'caller', 'press', 'copi', 'friend', 'callertun']",0.76062465,0.016472038,0.01694672,0.017140457,0.017146368,0.017146368,0.017146368,0.017146368,0.017146368,0.017146368,0.017146368,0.017146368,0.01724944,0.01724944,0.017146368
spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,"['winner', 'valu', 'network', 'custom', 'select', 'receivea', '£', 'prize', 'reward', 'claim', 'call', 'claim', 'code', 'kl', 'valid', 'hour']",0.8025953,0.015454086,0.014867018,0.013911924,0.013894509,0.013894509,0.013894509,0.013894509,0.013894509,0.013894509,0.013894509,0.013894509,0.014060631,0.014060645,0.013894514
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,"['mobil', 'month', 'u', 'r', 'entitl', 'updat', 'latest', 'colour', 'mobil', 'camera', 'free', 'call', 'mobil', 'updat', 'co', 'free']",0.7861796,0.016534008,0.016017566,0.015123899,0.015105312,0.015105312,0.015105312,0.015105312,0.015105312,0.015105312,0.015105312,0.015105312,0.015098578,0.015098571,0.015105312
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.","['im', 'gonna', 'home', 'soon', 'dont', 'want', 'talk', 'stuff', 'anymor', 'tonight', 'k', 'ive', 'cri', 'enough', 'today']",0.12249722,0.01378084,0.0133158555,0.060190566,0.06267712,0.0626772,0.06267717,0.06267717,0.06267717,0.06267717,0.06267717,0.06267717,0.11306025,0.11305814,0.06267992
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info","['six', 'chanc', 'win', 'cash', 'pound', 'txt', 'csh', 'send', 'cost', 'pday', 'day', 'tsandc', 'appli', 'repli', 'hl', 'info']",0.7928137,0.016069205,0.0155326,0.014628806,0.014631004,0.014631004,0.014631004,0.014631004,0.014631004,0.014631004,0.014631004,0.014631004,0.014638275,0.014638282,0.014631004
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18","['urgent', 'week', 'free', 'membership', '£', 'prize', 'jackpot', 'txt', 'word', 'claim', 'tc', 'lccltd', 'pobox', 'ldnwarw']",0.008365107,0.003603457,0.0034538298,0.105840474,0.09517794,0.09517829,0.09517827,0.095178254,0.095178254,0.095178254,0.095178254,0.095178254,0.011066364,0.011066063,0.09517888
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,"['ive', 'search', 'right', 'word', 'thank', 'breather', 'promis', 'wont', 'take', 'help', 'grant', 'fulfil', 'promis', 'wonder', 'bless', 'time']",0.008155537,0.003961473,0.0037048673,0.10344592,0.09499554,0.09499599,0.094995804,0.094995804,0.094995804,0.094995804,0.094995804,0.094995804,0.012882802,0.012882237,0.095000714
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,"['date', 'sunday']",0.011058457,0.36326236,0.35664427,0.022633625,0.022620516,0.022620527,0.022620527,0.022620527,0.022620527,0.022620527,0.022620527,0.022620527,0.021408373,0.021408359,0.02262053
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL","['xxxmobilemovieclub', 'use', 'credit', 'click', 'wap', 'link', 'next', 'txt', 'messag', 'click', 'xxxmobilemovieclubcomnqjkgighjjgcbl']",0.4826837,0.309243,0.016686153,0.015982412,0.015986262,0.015986262,0.015986262,0.015986262,0.015986262,0.015986262,0.015986262,0.015986262,0.01576427,0.015764255,0.01598627
ham,Oh k...i'm watching here:),"['oh', 'kim', 'watch']",0.0029609401,0.0038457075,0.004655497,0.09016814,0.093811885,0.09381207,0.09381203,0.09381203,0.09381203,0.09381203,0.09381203,0.09381203,0.02702958,0.027031874,0.09381201
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,"['eh', 'u', 'rememb', 'spell', 'name', 'ye', 'v', 'naughti', 'make', 'v', 'wet']",0.009815468,0.34297004,0.41950366,0.019128935,0.019173203,0.019173203,0.019173203,0.019173203,0.019173203,0.019173203,0.019173203,0.019173203,0.018011484,0.018011475,0.019173155
ham,Fine if thats the way u feel. Thats the way its gota b,"['fine', 'that\x92', 'way', 'u', 'feel', 'that\x92', 'way', 'gota', 'b']",0.0038159622,0.0036870323,0.00466366,0.09130846,0.09478463,0.0947849,0.094784915,0.0947849,0.0947849,0.0947849,0.0947849,0.0947849,0.021729413,0.021729272,0.09478719
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+","['england', 'v', 'macedonia', 'dont', 'miss', 'goalsteam', 'news', 'txt', 'ur', 'nation', 'team', 'eg', 'england', 'trywal', 'scotland', 'txtú', 'poboxoxwwq']",0.7458512,0.017025774,0.018083718,0.018137217,0.018146688,0.018146707,0.018146707,0.018146707,0.018146707,0.018146707,0.018146707,0.018146707,0.018790942,0.018790942,0.018146707
ham,Is that seriously how you spell his name?,"['serious', 'spell', 'name']",0.041563336,0.3849954,0.38656035,0.015516153,0.015535579,0.015535579,0.015535579,0.015535579,0.015535579,0.015535579,0.015535579,0.015535579,0.015772255,0.015772263,0.015535595
ham,I‘m going to try for 2 months ha ha only joking,"['i‘m', 'go', 'tri', 'month', 'ha', 'ha', 'joke']",0.0046897596,0.0037326426,0.0058113416,0.093146,0.09685813,0.096858144,0.09685819,0.09685819,0.09685819,0.09685819,0.09685819,0.09685819,0.010448755,0.010448703,0.09685737
ham,So ü pay first lar... Then when is da stock comin...,"['ü', 'pay', 'first', 'lar', 'da', 'stock', 'comin']",0.0113762915,0.013590076,0.46372485,0.044834293,0.043942828,0.04394281,0.04394281,0.04394281,0.04394281,0.04394281,0.04394281,0.04394281,0.03549434,0.035495084,0.043942705
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,"['aft', 'finish', 'lunch', 'go', 'str', 'lor', 'ard', 'smth', 'lor', 'u', 'finish', 'ur', 'lunch', 'alreadi']",0.0043007643,0.0035788182,0.0032883575,0.095495336,0.09572159,0.095721416,0.095721416,0.095721416,0.095721416,0.095721416,0.095721416,0.095721416,0.015922349,0.015921889,0.09572099
ham,Ffffffffff. Alright no way I can meet up with you sooner?,"['ffffffffff', 'alright', 'way', 'meet', 'sooner']",0.0032957634,0.004479783,0.0052350387,0.0703405,0.07450879,0.07450908,0.07450905,0.074509054,0.074509054,0.074509054,0.074509054,0.074509054,0.123036444,0.12303602,0.074504286
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,"['forc', 'eat', 'slice', 'im', 'realli', 'hungri', 'tho', 'suck', 'mark', 'get', 'worri', 'know', 'im', 'sick', 'turn', 'pizza', 'lol']",0.0060274126,0.16956823,0.20537011,0.013465718,0.01357691,0.01357691,0.01357691,0.01357691,0.01357691,0.01357691,0.01357691,0.01357691,0.24168879,0.24168754,0.013576914
ham,Lol your always so convincing.,"['lol', 'alway', 'convinc']",0.003284423,0.0039806557,0.004311267,0.09666992,0.09024635,0.090250276,0.09025044,0.09025044,0.09025044,0.09025044,0.09025044,0.09025044,0.039753534,0.039753143,0.09024785
